poster_number,number_recommend,avg_node_distance,avg_node_distance_kw,avg_node_distance_wv,avg_node_distance_cv,avg_node_distance_le,avg_random
7241,8,0.9,3.0,2.1,1.8,1.8,3.0
7241,9,1.7,3.0,1.9,1.6,1.8,2.9
7241,10,1.6,3.0,1.9,1.6,1.8,3.0
6043,1,2.2,2.2,2.4,2.7,2.4,3.0
6043,2,0.8,1.6,2.0,1.9,0.5,2.9
6043,3,0.9,1.4,2.5,1.4,0.2,2.9
6043,4,0.9,1.3,2.4,0.9,1.1,3.0
6043,5,1.2,1.2,1.8,0.8,0.7,2.8
6043,6,0.9,1.3,2.1,1.0,0.8,2.8
6043,7,0.9,2.0,2.2,0.9,0.9,2.8
6043,8,1.0,1.9,2.5,0.9,1.1,3.0
6043,9,1.0,1.7,2.5,0.7,1.1,3.0
6043,10,0.8,1.8,2.0,0.8,0.9,3.0
1219,1,0.9,0.6,1.3,0.9,0.8,2.8
1219,2,0.8,0.7,0.4,0.9,0.6,2.3
1219,3,0.4,1.4,0.5,0.7,0.2,2.7
1219,4,0.4,0.9,0.5,0.3,0.2,2.5
1219,5,0.4,1.0,0.9,0.3,0.2,2.7
1219,6,0.2,0.8,1.4,0.3,0.2,2.7
1219,7,0.4,1.2,1.5,0.2,0.2,2.7
1219,8,0.3,1.4,1.5,0.3,0.2,2.6
1219,9,0.5,1.4,1.5,0.6,0.2,2.5
1219,10,0.5,1.6,0.8,0.3,0.2,2.8
10485,1,1.7,2.4,1.7,1.8,1.4,2.6
10485,2,0.9,2.4,1.3,0.7,0.8,2.3
10485,3,0.5,2.2,1.0,0.5,0.7,2.9
