poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
3988,2.0,2.2,2.5,1
3988,1.1,2.5,2.7,2
3988,1.1,2.2,2.6,3
3988,1.1,2.7,2.7,4
3988,0.8,2.6,3.0,5
9213,0.9,2.9,2.5,1
9213,1.0,1.1,2.7,2
9213,1.3,1.7,3.0,3
9213,0.9,1.8,2.6,4
9213,1.0,1.8,2.9,5
7353,2.3,2.6,2.6,1
7353,1.9,2.3,2.9,2
7353,1.6,2.6,2.9,3
7353,1.5,2.5,2.4,4
7353,1.4,2.0,2.7,5
9235,1.5,2.6,3.0,1
9235,1.3,1.7,2.9,2
9235,1.3,1.8,2.8,3
9235,0.6,1.8,2.9,4
9235,1.2,1.5,2.8,5
11598,2.1,2.0,2.8,1
11598,1.4,2.0,2.6,2
11598,1.2,2.1,2.7,3
11598,1.2,1.6,2.6,4
11598,1.3,1.6,2.7,5
3846,2.1,2.4,3.0,1
3846,2.1,2.0,3.0,2
3846,1.5,1.7,2.9,3
3846,1.8,2.0,2.7,4
3846,1.8,2.0,3.0,5
718,2.8,2.7,2.8,1
718,2.5,2.1,3.0,2
718,2.0,2.6,2.6,3
718,2.0,2.8,2.9,4
718,2.2,2.8,2.8,5
8892,2.2,2.3,2.6,1
8892,0.6,2.0,2.8,2
8892,0.9,1.8,2.4,3
8892,0.6,2.1,2.7,4
8892,0.3,1.1,2.8,5
4968,0.9,0.8,3.0,1
4968,0.9,1.5,2.8,2
4968,0.7,2.2,2.6,3
4968,0.7,2.1,2.9,4
4968,0.2,2.2,2.8,5
2553,1.8,2.2,2.7,1
2553,1.0,1.7,2.9,2
2553,0.4,1.4,2.9,3
2553,0.5,1.4,2.6,4
2553,0.5,1.3,2.7,5
13215,0.0,1.7,2.7,1
13215,0.3,1.1,2.8,2
13215,0.2,1.6,2.9,3
13215,0.5,1.8,2.9,4
13215,0.2,1.8,2.8,5
10990,0.6,1.5,2.6,1
10990,0.5,0.7,2.8,2
10990,0.5,1.5,2.5,3
10990,0.7,1.3,2.7,4
10990,1.0,0.8,2.6,5
9672,1.9,3.0,2.9,1
9672,1.2,2.4,3.0,2
9672,1.7,2.7,2.8,3
9672,1.6,3.0,3.0,4
9672,1.3,3.0,3.0,5
8713,1.4,3.0,2.8,1
8713,0.9,2.5,2.7,2
8713,1.2,1.5,3.0,3
8713,1.2,1.5,3.0,4
8713,1.2,1.8,3.0,5
14166,1.8,2.5,2.8,1
14166,1.1,1.9,3.0,2
14166,1.2,2.2,2.9,3
14166,1.0,2.1,2.8,4
14166,1.1,2.1,2.8,5
11970,2.4,2.2,2.8,1
11970,1.6,2.0,2.7,2
11970,1.4,2.0,2.6,3
11970,1.2,2.2,2.6,4
11970,1.3,2.0,2.9,5
10932,1.8,2.7,3.0,1
10932,1.8,3.0,2.9,2
10932,1.8,3.0,3.0,3
10932,1.5,2.6,2.7,4
10932,1.5,2.1,3.0,5
9582,3.0,2.7,2.3,1
9582,1.7,1.6,2.9,2
9582,1.1,1.4,3.0,3
9582,0.8,1.5,2.9,4
9582,1.0,1.6,2.9,5
1918,1.0,2.7,2.8,1
1918,0.8,2.6,2.9,2
1918,1.2,3.0,2.9,3
1918,1.0,2.8,3.0,4
1918,0.4,2.8,3.0,5
9754,2.1,1.6,3.0,1
9754,1.5,2.3,3.0,2
9754,0.9,3.0,3.0,3
9754,1.5,1.9,3.0,4
9754,1.5,1.7,2.9,5
9199,0.2,1.3,2.7,1
9199,0.6,1.3,3.0,2
9199,0.4,1.5,2.3,3
9199,0.4,2.0,2.7,4
9199,0.4,2.6,2.8,5
8320,1.0,2.4,2.6,1
8320,0.6,2.7,2.6,2
8320,0.9,2.9,2.5,3
8320,0.6,2.6,2.8,4
8320,0.6,2.3,2.5,5
2587,2.2,2.7,2.6,1
2587,2.1,2.4,2.7,2
2587,1.5,2.5,2.8,3
2587,1.6,2.2,2.9,4
2587,1.5,2.7,2.8,5
