poster_number,distance,n_components
7889,2.0,75
6802,2.1,75
492,2.4,75
34,1.2,75
12642,3.0,75
4964,1.5,75
3457,2.4,75
9945,2.1,75
14389,2.7,75
3354,1.3,75
11848,1.1,75
9815,2.4,75
4151,1.3,75
5424,2.0,75
5780,1.5,75
614,2.7,75
13045,1.5,75
9428,1.1,75
4031,1.0,75
12822,2.5,75
4435,0.1,75
2364,0.6,75
3225,2.3,75
4776,0.5,75
5001,2.4,75
13289,2.2,75
8368,1.0,75
3249,1.2,75
14345,2.8,75
11057,2.4,75
8743,2.5,75
3207,1.5,75
4044,1.9,75
10371,2.2,75
10604,2.8,75
4545,1.6,75
8050,1.1,75
605,2.7,75
6650,3.0,75
3099,0.7,75
13494,1.3,75
4534,2.2,75
6735,0.9,75
5067,3.0,75
7229,3.0,75
7944,1.6,75
5949,1.5,75
1331,0.9,75
13651,2.7,75
14274,2.5,75
13675,0.9,75
726,2.4,75
13436,1.4,75
13858,3.0,75
7917,2.3,75
449,2.9,75
7106,1.1,75
11236,2.3,75
11558,2.5,75
11345,0.3,75
4675,1.6,75
6927,1.9,75
7068,1.9,75
6851,3.0,75
536,2.7,75
10043,2.5,75
428,0.4,75
2247,1.7,75
4193,0.9,75
10832,0.3,75
658,2.0,75
5768,1.3,75
753,0.1,75
139,0.7,75
2813,1.3,75
11982,1.3,75
14389,2.7,75
9621,1.8,75
8221,1.6,75
827,1.8,75
229,2.7,75
10009,1.4,75
1390,1.4,75
11333,1.5,75
10838,3.0,75
10824,1.5,75
5619,2.2,75
2524,2.1,75
7474,1.6,75
11204,0.9,75
7381,2.2,75
14425,1.1,75
6408,2.7,75
790,1.8,75
11112,1.9,75
7147,1.0,75
13426,2.7,75
12291,2.3,75
4592,2.0,75
9204,1.2,75
14319,0.8,75
4278,1.9,75
4145,1.6,75
2697,1.8,75
14649,2.2,75
12156,0.7,75
3139,2.2,75
13181,0.9,75
6014,1.3,75
13014,2.9,75
10062,1.1,75
6614,2.3,75
10118,2.9,75
6250,1.7,75
14612,3.0,75
415,2.9,75
9476,1.5,75
363,1.8,75
9607,1.9,75
1216,0.8,75
14288,2.4,75
4346,3.0,75
912,2.2,75
11165,2.4,75
14567,0.3,75
4084,2.2,75
10803,1.1,75
4842,2.6,75
4547,1.0,75
5525,2.2,75
7220,2.6,75
3887,1.6,75
13472,1.2,75
7023,1.6,75
6120,0.6,75
5786,1.7,75
8030,1.3,75
9253,2.5,75
6833,1.4,75
12149,2.1,75
10493,2.0,75
13594,2.8,75
13252,1.7,75
12234,2.6,75
3197,1.6,75
14579,1.2,75
1306,1.2,75
10828,2.9,75
6828,2.6,75
8917,2.4,75
12796,1.5,75
14592,2.6,75
4255,1.9,75
13482,1.7,75
6261,2.8,75
10304,2.0,75
6296,3.0,75
7190,2.8,75
3435,0.3,75
254,2.6,75
13090,1.4,75
13333,2.1,75
3765,2.7,75
3436,2.6,75
4428,2.7,75
7438,1.6,75
9791,1.3,75
11711,1.4,75
10942,2.2,75
8161,2.6,75
11582,2.3,75
637,2.6,75
2242,1.3,75
14216,1.3,75
9352,0.8,75
2576,2.4,75
14445,2.2,75
7637,1.2,75
3821,1.9,75
11032,1.8,75
8568,2.8,75
1930,2.2,75
6790,1.7,75
4580,2.2,75
7355,2.8,75
11606,1.4,75
1687,2.7,75
578,0.9,75
13912,1.2,75
12917,1.5,75
3685,2.7,75
10690,1.3,75
5770,1.0,75
6340,1.1,75
114,1.0,75
7742,2.3,75
1291,1.9,75
8481,1.2,75
7460,2.5,75
10565,2.4,75
13110,2.7,75
222,1.2,75
10020,1.6,75
4367,1.5,75
5997,1.0,75
6563,2.5,75
8624,2.3,75
6379,2.4,75
4848,2.2,75
6841,2.0,75
6708,2.4,75
974,0.8,75
11726,0.7,75
6328,1.7,75
561,1.0,75
2690,1.6,75
10800,0.4,75
8641,2.0,75
14137,0.4,75
10974,1.3,75
8138,1.9,75
2980,2.1,75
10083,2.1,75
8208,2.4,75
8024,1.6,75
10304,2.0,75
7285,2.7,75
7846,0.9,75
12842,0.1,75
4435,0.1,75
2928,1.0,75
3284,2.6,75
6150,0.6,75
2654,1.6,75
2899,2.1,75
7805,2.3,75
8631,2.3,75
10388,1.9,75
1139,1.6,75
2399,1.4,75
686,2.0,75
3430,1.7,75
3901,1.9,75
3563,1.6,75
249,1.8,75
5603,2.9,75
7560,1.8,75
11568,1.8,75
12087,1.1,75
10373,1.3,75
11360,0.9,75
4945,1.0,75
11778,2.8,75
3963,1.6,75
2149,1.1,75
12517,2.3,75
9832,0.8,75
12706,2.2,75
